"iso3","year","population"
"ALB",2018,2607733
"ALB",2013,2816902
"ALB",2008,2947314
"ALB",2003,3039616
"DZA",2023,46164219
"DZA",2018,42505035
"DZA",2013,38414171
"DZA",2008,34816961
"DZA",2003,32175818
"ASM",2023,47521
"ASM",2018,50908
"ASM",2013,54006
"ASM",2008,55828
"ASM",2003,56971
"AND",2023,80856
"AND",2018,75162
"AND",2013,75194
"AND",2008,83495
"AND",2003,69486
"AGO",2023,36749906
"AGO",2018,31297155
"AGO",2013,26165620
"AGO",2008,21578655
"AGO",2003,17943712
"ATG",2023,93316
"ATG",2018,90926
"ATG",2013,88064
"ATG",2008,82912
"ATG",2003,77884
"ARG",2023,45538401
"ARG",2018,44654882
"ARG",2013,42582455
"ARG",2008,40424148
"ARG",2003,38424282
"ARM",2023,2964300
"ARM",2018,2969000
"ARM",2013,3022000
"ARM",2008,3087100
"ARM",2003,3182500
"ABW",2023,107359
"ABW",2018,108908
"ABW",2013,105675
"ABW",2008,100917
"ABW",2003,93128
"AUS",2023,26659922
"AUS",2018,24963258
"AUS",2013,23128129
"AUS",2008,21249199
"AUS",2003,19720737
"AUT",2023,9131761
"AUT",2018,8840521
"AUT",2013,8479823
"AUT",2008,8321496
"AUT",2003,8121423
"AZE",2023,10153958
"AZE",2018,9939771
"AZE",2013,9416801
"AZE",2008,8763400
"AZE",2003,8234100
"BHS",2023,399440
"BHS",2018,392717
"BHS",2013,378953
"BHS",2008,358120
"BHS",2003,335618
"BHR",2023,1577059
"BHR",2018,1503091
"BHR",2013,1253191
"BHR",2008,1103496
"BHR",2003,764517
"BGD",2023,171466990
"BGD",2018,163523103
"BGD",2013,156532141
"BGD",2008,149474264
"BGD",2003,140970351
"BRB",2023,282336
"BRB",2018,280711
"BRB",2013,277665
"BRB",2008,272714
"BRB",2003,265776
"BLR",2023,9178298
"BLR",2018,9438785
"BLR",2013,9443211
"BLR",2008,9527985
"BLR",2003,9796749
"BEL",2023,11779946
"BEL",2018,11427054
"BEL",2013,11159407
"BEL",2008,10709973
"BEL",2003,10376133
"BLZ",2023,411106
"BLZ",2018,380226
"BLZ",2013,341627
"BLZ",2008,304361
"BLZ",2003,263780
"BEN",2023,14111034
"BEN",2018,12383347
"BEN",2013,10708834
"BEN",2008,9228466
"BEN",2003,7913070
"BMU",2023,64698
"BMU",2018,63831
"BMU",2013,63574
"BMU",2008,63300
"BMU",2003,62386
"BTN",2023,786385
"BTN",2018,759759
"BTN",2013,725273
"BTN",2008,686351
"BTN",2003,637663
"BOL",2023,12244159
"BOL",2018,11508368
"BOL",2013,10682608
"BOL",2008,9850858
"BOL",2003,9050700
"BIH",2023,3185073
"BIH",2018,3387000
"BIH",2013,3610859
"BIH",2008,3947544
"BIH",2003,4178523
"BWA",2023,2480244
"BWA",2018,2299141
"BWA",2013,2140682
"BWA",2008,1949970
"BWA",2003,1775736
"BRA",2023,211140729
"BRA",2018,206107261
"BRA",2013,198478299
"BRA",2008,190367302
"BRA",2003,180622688
"VGB",2023,38985
"VGB",2018,34657
"VGB",2013,31703
"VGB",2008,26288
"VGB",2003,22134
"BRN",2023,458949
"BRN",2018,437810
"BRN",2013,411202
"BRN",2008,377793
"BRN",2003,346637
"BGR",2023,6446596
"BGR",2018,6710798
"BGR",2013,7160005
"BGR",2008,7492561
"BGR",2003,7775327
"BFA",2023,23025776
"BFA",2018,20438288
"BFA",2013,17695409
"BFA",2008,15258093
"BFA",2003,13082532
"BDI",2023,13689450
"BDI",2018,11859446
"BDI",2013,10439341
"BDI",2008,8505637
"BDI",2003,7043154
"CPV",2023,522331
"CPV",2018,513415
"CPV",2013,512225
"CPV",2008,501355
"CPV",2003,473383
"KHM",2023,17423880
"KHM",2018,16274522
"KHM",2013,15170208
"KHM",2008,14053479
"KHM",2003,13050968
"CMR",2023,28372687
"CMR",2018,24806383
"CMR",2013,21402376
"CMR",2008,18574056
"CMR",2003,16160340
"CAN",2023,40083484
"CAN",2018,37072620
"CAN",2013,35080992
"CAN",2008,33247298
"CAN",2003,31642461
"CYM",2023,73038
"CYM",2018,65941
"CYM",2013,58655
"CYM",2008,51151
"CYM",2003,43934
"CAF",2023,5152421
"CAF",2018,4878657
"CAF",2013,4642419
"CAF",2008,4558984
"CAF",2003,4103086
"TCD",2023,19319064
"TCD",2018,16156531
"TCD",2013,13691079
"TCD",2008,11476296
"TCD",2003,9487833
"CHI",2023,167691
"CHI",2018,164949
"CHI",2013,161777
"CHI",2008,156408
"CHI",2003,150960
"CHL",2023,19658835
"CHL",2018,18893191
"CHL",2013,17687006
"CHL",2008,16838988
"CHL",2003,16024752
"CHN",2023,1410710000
"CHN",2018,1402760000
"CHN",2013,1363240000
"CHN",2008,1324655000
"CHN",2003,1288400000
"COL",2023,52321152
"COL",2018,49024465
"COL",2013,46151584
"COL",2008,43758808
"COL",2003,40937429
"COM",2023,850387
"COM",2018,771590
"COM",2013,696192
"COM",2008,629307
"COM",2003,569798
"COD",2023,105789731
"COD",2018,90047644
"COD",2013,75789395
"COD",2008,64390664
"COD",2003,55343867
"COG",2023,6182885
"COG",2018,5483118
"COG",2013,4857099
"COG",2008,4113517
"COG",2003,3445753
"CRI",2023,5105525
"CRI",2018,4957818
"CRI",2013,4716147
"CRI",2008,4440056
"CRI",2003,4138784
"CIV",2023,31165654
"CIV",2018,27464173
"CIV",2013,23939775
"CIV",2008,21514439
"CIV",2003,19125542
"HRV",2023,3859686
"HRV",2018,3988775
"HRV",2013,4233922
"HRV",2008,4309705
"HRV",2003,4303399
"CUB",2023,11019931
"CUB",2018,11227118
"CUB",2013,11298167
"CUB",2008,11291762
"CUB",2003,11209383
"CUW",2023,154654
"CUW",2018,159336
"CUW",2013,153822
"CUW",2008,145880
"CUW",2003,131897
"CYP",2023,1344976
"CYP",2018,1270737
"CYP",2013,1183895
"CYP",2008,1091026
"CYP",2003,999590
"CZE",2023,10864042
"CZE",2018,10629928
"CZE",2013,10514272
"CZE",2008,10384603
"CZE",2003,10193998
"DNK",2023,5946952
"DNK",2018,5793636
"DNK",2013,5614932
"DNK",2008,5493621
"DNK",2003,5390574
"DJI",2023,1152944
"DJI",2018,1071882
"DJI",2013,984824
"DJI",2008,892734
"DJI",2003,813519
"DMA",2023,66510
"DMA",2018,68174
"DMA",2013,69715
"DMA",2008,68854
"DMA",2003,68531
"DOM",2023,11331265
"DOM",2018,10782053
"DOM",2013,10193833
"DOM",2008,9573130
"DOM",2003,8980620
"ECU",2023,17980083
"ECU",2018,17049547
"ECU",2013,15807128
"ECU",2008,14575202
"ECU",2003,13372306
"EGY",2023,114535772
"EGY",2018,105682094
"EGY",2013,95333553
"EGY",2008,85864789
"EGY",2003,77853548
"SLV",2023,6309624
"SLV",2018,6219807
"SLV",2013,6138839
"SLV",2008,6029297
"SLV",2003,5998599
"GNQ",2023,1847549
"GNQ",2018,1616422
"GNQ",2013,1346218
"GNQ",2008,1084530
"GNQ",2003,847862
"ERI",2023,3470390
"ERI",2018,3192760
"ERI",2013,3074360
"ERI",2008,2816327
"ERI",2003,2493903
"EST",2023,1370286
"EST",2018,1321977
"EST",2013,1317997
"EST",2008,1337090
"EST",2003,1370720
"SWZ",2023,1230506
"SWZ",2018,1168929
"SWZ",2013,1129990
"SWZ",2008,1098091
"SWZ",2003,1066700
"ETH",2023,128691692
"ETH",2018,112664152
"ETH",2013,98438751
"ETH",2008,85543668
"ETH",2003,73832663
"FRO",2023,54414
"FRO",2018,50996
"FRO",2013,48246
"FRO",2008,48547
"FRO",2003,48032
"FJI",2023,924145
"FJI",2018,917180
"FJI",2013,916352
"FJI",2008,903399
"FJI",2003,866286
"FIN",2023,5583911
"FIN",2018,5515525
"FIN",2013,5438972
"FIN",2008,5313399
"FIN",2003,5213014
"FRA",2023,68372286
"FRA",2018,67158348
"FRA",2013,65997932
"FRA",2008,64375116
"FRA",2003,62249855
"PYF",2023,281118
"PYF",2018,279815
"PYF",2013,274728
"PYF",2008,268379
"PYF",2003,251637
"GAB",2023,2484789
"GAB",2018,2212318
"GAB",2013,1913059
"GAB",2008,1607175
"GAB",2003,1382350
"GMB",2023,2697845
"GMB",2018,2399632
"GMB",2013,2103820
"GMB",2008,1817852
"GMB",2003,1577611
"GEO",2023,3715483
"GEO",2018,3726549
"GEO",2013,3717668
"GEO",2008,3848449
"GEO",2003,3951736
"DEU",2023,83287273
"DEU",2018,82905782
"DEU",2013,80645605
"DEU",2008,82110097
"DEU",2003,82534176
"GHA",2023,33787914
"GHA",2018,30637585
"GHA",2013,27386193
"GHA",2008,24249946
"GHA",2003,21296705
"GIB",2023,38471
"GIB",2018,34854
"GIB",2013,32407
"GIB",2008,30413
"GIB",2003,28274
"GRC",2023,10407351
"GRC",2018,10732882
"GRC",2013,10965211
"GRC",2008,11077841
"GRC",2003,10928070
"GRL",2023,56865
"GRL",2018,56023
"GRL",2013,56483
"GRL",2008,56328
"GRL",2003,56751
"GRD",2023,117081
"GRD",2018,115691
"GRD",2013,113487
"GRD",2008,110896
"GRD",2003,108884
"GUM",2023,166506
"GUM",2018,162679
"GUM",2013,165966
"GUM",2008,165693
"GUM",2003,163137
"GTM",2023,18124838
"GTM",2018,16845685
"GTM",2013,15387337
"GTM",2008,13935174
"GTM",2003,12525842
"GIN",2023,14405468
"GIN",2018,12704774
"GIN",2013,11191873
"GIN",2008,9898870
"GIN",2003,8870781
"GNB",2023,2153339
"GNB",2018,1922168
"GNB",2013,1695973
"GNB",2008,1488054
"GNB",2003,1318806
"GUY",2023,826353
"GUY",2018,791556
"GUY",2013,750021
"GUY",2008,754606
"GUY",2003,763101
"HTI",2023,11637398
"HTI",2018,10962362
"HTI",2013,10222362
"HTI",2008,9530774
"HTI",2003,8759912
"HND",2023,10644851
"HND",2018,9765210
"HND",2013,8889278
"HND",2008,8012587
"HND",2003,7119213
"HKG",2023,7536100
"HKG",2018,7452600
"HKG",2013,7178900
"HKG",2008,6957800
"HKG",2003,6730800
"HUN",2023,9592186
"HUN",2018,9706964
"HUN",2013,9872734
"HUN",2008,10038188
"HUN",2003,10129552
"ISL",2023,385663
"ISL",2018,352721
"ISL",2013,323764
"ISL",2008,317414
"ISL",2003,289521
"IND",2023,1438069596
"IND",2018,1374659064
"IND",2013,1295829511
"IND",2008,1207930964
"IND",2003,1116803006
"IDN",2023,281190067
"IDN",2018,269951846
"IDN",2013,255852467
"IDN",2008,240157903
"IDN",2003,225048008
"IRN",2023,90608707
"IRN",2018,86117998
"IRN",2013,80414686
"IRN",2008,75514204
"IRN",2003,68769340
"IRQ",2023,45074049
"IRQ",2018,40265624
"IRQ",2013,35281989
"IRQ",2008,28971036
"IRQ",2003,26802659
"IRL",2023,5311538
"IRL",2018,4898022
"IRL",2013,4623816
"IRL",2008,4489544
"IRL",2003,3996521
"IMN",2023,84165
"IMN",2018,83805
"IMN",2013,84141
"IMN",2008,82029
"IMN",2003,78049
"ISR",2023,9849000
"ISR",2018,8882800
"ISR",2013,8059500
"ISR",2008,7308800
"ISR",2003,6689700
"ITA",2023,58984216
"ITA",2018,60148658
"ITA",2013,60311613
"ITA",2008,59211181
"ITA",2003,57399184
"JAM",2023,2839786
"JAM",2018,2820097
"JAM",2013,2783687
"JAM",2008,2725635
"JAM",2003,2656623
"JPN",2023,124516650
"JPN",2018,126811000
"JPN",2013,127445000
"JPN",2008,128063000
"JPN",2003,127718000
"JOR",2023,11439213
"JOR",2018,10462306
"JOR",2013,7991809
"JOR",2008,6989866
"JOR",2003,5741828
"KAZ",2023,20330104
"KAZ",2018,18932727
"KAZ",2013,17556502
"KAZ",2008,16426525
"KAZ",2003,15747380
"KEN",2023,55339003
"KEN",2018,50207107
"KEN",2013,44986791
"KEN",2008,39206351
"KEN",2003,33652223
"KIR",2023,132530
"KIR",2018,122084
"KIR",2013,113838
"KIR",2008,104222
"KIR",2003,94175
"PRK",2023,26418204
"PRK",2018,25931147
"PRK",2013,25329451
"PRK",2008,24764618
"PRK",2003,24090380
"KOR",2023,51712619
"KOR",2018,51585058
"KOR",2013,50428893
"KOR",2008,49054708
"KOR",2003,47892330
"XKX",2023,1682668
"XKX",2018,1797086
"XKX",2013,1818119
"XKX",2008,1800858
"XKX",2003,1826434
"KWT",2023,4853420
"KWT",2018,4323515
"KWT",2013,3507844
"KWT",2008,2651421
"KWT",2003,2109881
"KGZ",2023,7099750
"KGZ",2018,6444079
"KGZ",2013,5777150
"KGZ",2008,5318729
"KGZ",2003,5043308
"LAO",2023,7664993
"LAO",2018,7128045
"LAO",2013,6611385
"LAO",2008,6148969
"LAO",2003,5697945
"LVA",2023,1883710
"LVA",2018,1927174
"LVA",2013,2012647
"LVA",2008,2177322
"LVA",2003,2287955
"LBN",2023,5773493
"LBN",2018,5984119
"LBN",2013,5743436
"LBN",2008,4925354
"LBN",2003,4525508
"LSO",2023,2311472
"LSO",2018,2183603
"LSO",2013,2056504
"LSO",2008,1966541
"LSO",2003,1985059
"LBR",2023,5493031
"LBR",2018,4944726
"LBR",2013,4470239
"LBR",2008,3821003
"LBR",2003,3119532
"LBY",2023,7305659
"LBY",2018,6849055
"LBY",2013,6304628
"LBY",2008,6235430
"LBY",2003,5619398
"LIE",2023,39846
"LIE",2018,38246
"LIE",2013,36984
"LIE",2008,35473
"LIE",2003,34079
"LTU",2023,2871585
"LTU",2018,2819200
"LTU",2013,2961250
"LTU",2008,3198231
"LTU",2003,3415213
"LUX",2023,666430
"LUX",2018,607950
"LUX",2013,543360
"LUX",2008,488650
"LUX",2003,451630
"MAC",2023,678800
"MAC",2018,658900
"MAC",2013,591900
"MAC",2008,540700
"MAC",2003,443600
"MDG",2023,31195932
"MDG",2018,27494926
"MDG",2013,24109290
"MDG",2008,20923840
"MDG",2003,18071854
"MWI",2023,21104482
"MWI",2018,18528081
"MWI",2013,16161816
"MWI",2008,13976417
"MWI",2003,12181574
"MYS",2023,35126298
"MYS",2018,32910967
"MYS",2013,30174265
"MYS",2008,27570059
"MYS",2003,24679602
"MDV",2023,525994
"MDV",2018,473099
"MDV",2013,400070
"MDV",2008,336170
"MDV",2003,296491
"MLI",2023,23769127
"MLI",2018,20442030
"MLI",2013,17459615
"MLI",2008,14940782
"MLI",2003,12684955
"MLT",2023,552747
"MLT",2018,483903
"MLT",2013,424810
"MLT",2008,409379
"MLT",2003,398582
"MHL",2023,38827
"MHL",2018,45285
"MHL",2013,50681
"MHL",2008,52030
"MHL",2003,51639
"MRT",2023,5022441
"MRT",2018,4337685
"MRT",2013,3734318
"MRT",2008,3183269
"MRT",2003,2802046
"MUS",2023,1248647
"MUS",2018,1265577
"MUS",2013,1258927
"MUS",2008,1244121
"MUS",2003,1213370
"MEX",2023,129739759
"MEX",2018,124573711
"MEX",2013,118343573
"MEX",2008,110374288
"MEX",2003,102978515
"FSM",2023,112630
"FSM",2018,109909
"FSM",2013,108121
"FSM",2008,108936
"FSM",2003,112285
"MDA",2023,2457783
"MDA",2018,2707203
"MDA",2013,2859558
"MDA",2008,2868833
"MDA",2003,2903198
"MCO",2023,38956
"MCO",2018,38154
"MCO",2013,35447
"MCO",2008,31836
"MCO",2003,32374
"MNG",2023,3481145
"MNG",2018,3208189
"MNG",2013,2899011
"MNG",2008,2643201
"MNG",2003,2480374
"MNE",2023,623529
"MNE",2018,626438
"MNE",2013,622587
"MNE",2008,616969
"MNE",2003,612267
"MAR",2023,37712505
"MAR",2018,35839760
"MAR",2013,33787571
"MAR",2008,31606767
"MAR",2003,29571415
"MOZ",2023,33635160
"MOZ",2018,29018644
"MOZ",2013,25051611
"MOZ",2008,21819036
"MOZ",2003,19392475
"MMR",2023,54133798
"MMR",2018,52272247
"MMR",2013,50262658
"MMR",2008,48390793
"MMR",2003,46667192
"NAM",2023,2963095
"NAM",2018,2577327
"NAM",2013,2252508
"NAM",2008,2047056
"NAM",2003,1917464
"NRU",2023,11875
"NRU",2018,11477
"NRU",2013,10517
"NRU",2008,10009
"NRU",2003,10059
"NPL",2023,29694614
"NPL",2018,28079689
"NPL",2013,27589996
"NPL",2008,26990037
"NPL",2003,25688758
"NLD",2023,17877117
"NLD",2018,17231624
"NLD",2013,16804432
"NLD",2008,16445593
"NLD",2003,16225302
"NCL",2023,289870
"NCL",2018,283541
"NCL",2013,276822
"NCL",2008,253825
"NCL",2003,236678
"NZL",2023,5200000
"NZL",2018,4900600
"NZL",2013,4442100
"NZL",2008,4259800
"NZL",2003,4027200
"NIC",2023,6823613
"NIC",2018,6400080
"NIC",2013,5983845
"NIC",2008,5576593
"NIC",2003,5210963
"NER",2023,26159867
"NER",2018,22188069
"NER",2013,18519898
"NER",2008,15361915
"NER",2003,12796984
"NGA",2023,227882945
"NGA",2018,204938755
"NGA",2013,181049443
"NGA",2008,157595014
"NGA",2003,137202644
"MKD",2023,1827816
"MKD",2018,1889051
"MKD",2013,1922716
"MKD",2008,1971493
"MKD",2003,2022725
"MNP",2023,45143
"MNP",2018,49077
"MNP",2013,52758
"MNP",2008,57150
"MNP",2003,65421
"NOR",2023,5519601
"NOR",2018,5311916
"NOR",2013,5079623
"NOR",2008,4768212
"NOR",2003,4564855
"OMN",2023,5049269
"OMN",2018,4597877
"OMN",2013,3833913
"OMN",2008,2626529
"OMN",2003,2363796
"PAK",2023,247504495
"PAK",2018,226928892
"PAK",2013,211073978
"PAK",2008,189499113
"PAK",2003,167110248
"PLW",2023,17727
"PLW",2018,17814
"PLW",2013,17648
"PLW",2008,19009
"PLW",2003,19659
"PAN",2023,4458759
"PAN",2018,4167860
"PAN",2013,3825329
"PAN",2008,3500648
"PAN",2003,3189807
"PNG",2023,10389635
"PNG",2018,9394513
"PNG",2013,8302698
"PNG",2008,7183002
"PNG",2003,6123997
"PRY",2023,6844146
"PRY",2018,6427382
"PRY",2013,5982445
"PRY",2008,5613574
"PRY",2003,5326436
"PER",2023,33845617
"PER",2018,31897584
"PER",2013,29817919
"PER",2008,28719041
"PER",2003,27580490
"PHL",2023,114891199
"PHL",2018,109465287
"PHL",2013,102076336
"PHL",2008,92699095
"PHL",2003,84731835
"POL",2023,36687353
"POL",2018,37974750
"POL",2013,38040196
"POL",2008,38125759
"POL",2003,38204570
"PRT",2023,10578174
"PRT",2018,10283822
"PRT",2013,10457295
"PRT",2008,10558177
"PRT",2003,10458821
"PRI",2023,3203792
"PRI",2018,3290690
"PRI",2013,3631427
"PRI",2008,3760866
"PRI",2003,3826095
"QAT",2023,2656032
"QAT",2018,2580734
"QAT",2013,1916426
"QAT",2008,1426938
"QAT",2003,744682
"ROU",2023,19061062
"ROU",2018,19473970
"ROU",2013,19983693
"ROU",2008,20537875
"ROU",2003,21574326
"RUS",2023,143826130
"RUS",2018,145398106
"RUS",2013,143805638
"RUS",2008,142742366
"RUS",2003,144648618
"RWA",2023,13954471
"RWA",2018,12487996
"RWA",2013,11093340
"RWA",2008,9804269
"RWA",2003,8586875
"WSM",2023,216663
"WSM",2018,207582
"WSM",2013,198268
"WSM",2008,190107
"WSM",2003,185430
"SMR",2023,33860
"SMR",2018,34522
"SMR",2013,33041
"SMR",2008,31662
"SMR",2003,27843
"STP",2023,230871
"STP",2018,210187
"STP",2013,193148
"STP",2008,173793
"STP",2003,153814
"SAU",2023,33702731
"SAU",2018,30196281
"SAU",2013,27624004
"SAU",2008,23287877
"SAU",2003,18786767
"SEN",2023,18077573
"SEN",2018,15914498
"SEN",2013,13710849
"SEN",2008,12048959
"SEN",2003,10721176
"SRB",2023,6623183
"SRB",2018,6982604
"SRB",2013,7166553
"SRB",2008,7350222
"SRB",2003,7480591
"SYC",2023,119773
"SYC",2018,96762
"SYC",2013,89949
"SYC",2008,86956
"SYC",2003,82781
"SLE",2023,8460512
"SLE",2018,7554563
"SLE",2013,6714051
"SLE",2008,5894722
"SLE",2003,5177687
"SGP",2023,5917648
"SGP",2018,5638676
"SGP",2013,5399162
"SGP",2008,4839396
"SGP",2003,4114826
"SXM",2023,42749
"SXM",2018,39712
"SXM",2013,35854
"SXM",2008,33145
"SXM",2003,31327
"SVK",2023,5426740
"SVK",2018,5446771
"SVK",2013,5413393
"SVK",2008,5379233
"SVK",2003,5373374
"SVN",2023,2120461
"SVN",2018,2073894
"SVN",2013,2059953
"SVN",2008,2021316
"SVN",2003,1995733
"SLB",2023,800005
"SLB",2018,709101
"SLB",2013,594945
"SLB",2008,508790
"SLB",2003,466154
"SOM",2023,18358615
"SOM",2018,15452487
"SOM",2013,12869594
"SOM",2008,11663084
"SOM",2003,9909157
"ZAF",2023,63212384
"ZAF",2018,58613001
"ZAF",2013,54678791
"ZAF",2008,51114599
"ZAF",2003,48500348
"SSD",2023,11483374
"SSD",2018,10122977
"SSD",2013,11166275
"SSD",2008,8817647
"SSD",2003,6903127
"ESP",2023,48352528
"ESP",2018,46782011
"ESP",2013,46604197
"ESP",2008,45954106
"ESP",2003,42187645
"LKA",2023,22037000
"LKA",2018,21670000
"LKA",2013,20585000
"LKA",2008,20629378
"LKA",2003,19951521
"KNA",2023,46758
"KNA",2018,47008
"KNA",2013,47069
"KNA",2008,46835
"KNA",2003,46176
"LCA",2023,179285
"LCA",2018,177017
"LCA",2013,173369
"LCA",2008,168808
"LCA",2003,162976
"MAF",2023,27515
"MAF",2018,36012
"MAF",2013,37419
"MAF",2008,35958
"MAF",2003,32395
"VCT",2023,101323
"VCT",2018,104926
"VCT",2013,108135
"VCT",2008,111028
"VCT",2003,113141
"SDN",2023,50042791
"SDN",2018,44230596
"SDN",2013,37785849
"SDN",2008,33623980
"SDN",2003,29896035
"SUR",2023,628886
"SUR",2018,599513
"SUR",2013,569020
"SUR",2008,537245
"SUR",2003,506414
"SWE",2023,10536632
"SWE",2018,10175214
"SWE",2013,9600379
"SWE",2008,9219637
"SWE",2003,8958229
"CHE",2023,8888822
"CHE",2018,8514329
"CHE",2013,8089346
"CHE",2008,7647675
"CHE",2003,7339001
"SYR",2023,23594623
"SYR",2018,19577845
"SYR",2013,21666917
"SYR",2008,21636564
"SYR",2003,17889296
"TJK",2023,10389799
"TJK",2018,9307333
"TJK",2013,8216724
"TJK",2008,7338403
"TJK",2003,6658575
"TZA",2023,66617606
"TZA",2018,57437145
"TZA",2013,48824128
"TZA",2008,42570728
"TZA",2003,37089555
"THA",2023,71702435
"THA",2018,71376079
