"iso3","year","gdp_current_usd"
"PST",2013,46413780180350.6
"PST",2008,43606905463177.5
"PST",2003,30628727069752.9
"PRE",2023,1680243373294.08
"PRE",2018,1372023278046.38
"PRE",2013,1476563371928.86
"PRE",2008,1008759607190.09
"PRE",2003,340468658786.46
"SST",2023,287374900231.333
"SST",2018,230122099257.831
"SST",2013,201575895178.586
"SST",2008,189079229226.136
"SST",2003,99643830272.9925
"SAS",2023,4210302249458.65
"SAS",2018,3159841615195.07
"SAS",2013,2111097579998.97
"SAS",2008,1347380565219.4
"SAS",2003,694775911444.331
"TSA",2023,4210302249458.65
"TSA",2018,3159841615195.07
"TSA",2013,2111097579998.97
"TSA",2008,1347380565219.4
"TSA",2003,694775911444.331
"SSF",2023,2117597425394.64
"SSF",2018,1798796101321.48
"SSF",2013,1825489288568.26
"SSF",2008,1301030210080.85
"SSF",2003,565919936760.318
"SSA",2023,1979535952437.49
"SSA",2018,1713673886322.74
"SSA",2013,1776507851555.87
"SSA",2008,1272983700051.33
"SSA",2003,556578144172.593
"TSS",2023,2117597425394.65
"TSS",2018,1798796101321.48
"TSS",2013,1825489288568.26
"TSS",2008,1301030210080.85
"TSS",2003,565919936760.318
"WLD",2023,106741647821064
"WLD",2018,87050964956078.4
"WLD",2013,78034892841179.1
"WLD",2008,64311729364641.3
"WLD",2003,39243276986261.9
"AFG",2023,17152234636.8715
"AFG",2018,18053222687.4126
"AFG",2013,20146416757.5987
"AFG",2008,10109297047.5432
"AFG",2003,4520946818.54581
"ALB",2023,23491242727.4082
"ALB",2018,15379508329.7568
"ALB",2013,12796985886.1478
"ALB",2008,13258506375.4518
"ALB",2003,5801712040.48463
"DZA",2023,247923887214.655
"DZA",2018,194554483655.528
"DZA",2013,229701430292.157
"DZA",2008,180383848331.135
"DZA",2003,73482264190.9245
"ASM",2023,NA
"ASM",2018,6.39e+08
"ASM",2013,6.38e+08
"ASM",2008,5.6e+08
"ASM",2003,5.24e+08
"AND",2023,3785065524.84754
"AND",2018,3218418631.67579
"AND",2013,3193513470.43941
"AND",2008,4102317468.30156
"AND",2003,2366941614.03001
"AGO",2023,107167747140.127
"AGO",2018,89512794227.495
"AGO",2013,148845200696.792
"AGO",2008,98790432989.4067
"AGO",2003,20342128111.9753
"ATG",2023,2005785185.18518
"ATG",2018,1661529629.62963
"ATG",2013,1325496296.2963
"ATG",2008,1557640740.74074
"ATG",2003,948100000
"ARG",2023,649461687959.174
"ARG",2018,524819892360.176
"ARG",2013,552025140252.246
"ARG",2008,361558037110.419
"ARG",2003,127586973492.177
"ARM",2023,24185982215.6543
"ARM",2018,12457940694.7395
"ARM",2013,11121464437.0415
"ARM",2008,11662040713.8753
"ARM",2003,2807061008.69084
"ABW",2023,3834729616.12027
"ABW",2018,3276187709.49721
"ABW",2013,2727849162.01117
"ABW",2008,2843024581.00559
"ABW",2003,2044111731.84358
"AUS",2023,1734451264655.6
"AUS",2018,1433144978761.67
"AUS",2013,1583737461925.39
"AUS",2008,1058448244063.77
"AUS",2003,468517181129.878
"AUT",2023,516670509628.876
"AUT",2018,452582294972.775
"AUT",2013,426580502769.417
"AUT",2008,429234399096.173
"AUT",2003,260779834340.097
"AZE",2023,72428470588.2353
"AZE",2018,47112470051.7701
"AZE",2013,74160560123.6902
"AZE",2008,48851293785.4483
"AZE",2003,7276413079.11451
"BHS",2023,15271300000
"BHS",2018,12819200000
"BHS",2013,10475300000
"BHS",2008,1.0526e+10
"BHS",2003,8870090000
"BHR",2023,46192260638.2979
"BHR",2018,39567978723.4043
"BHR",2013,33823324468.0851
"BHR",2008,25710904255.3191
"BHR",2003,11074813829.7872
"BGD",2023,437415333018.291
"BGD",2018,321362752441.78
"BGD",2013,149998957434.186
"BGD",2008,91636997370.9772
"BGD",2003,60158929188.2556
"BRB",2023,7223250000
"BRB",2018,6001950000
"BRB",2013,5667200000
"BRB",2008,4790410400
"BRB",2003,3209500000
"BLR",2023,72478760370.4258
"BLR",2018,60031026576.26
"BLR",2013,75527558966.4473
"BLR",2008,60752106347.126
"BLR",2003,17825444724.4878
"BEL",2023,651330595110.011
"BEL",2018,542638913427.921
"BEL",2013,524097026598.55
"BEL",2008,517328087920.078
"BEL",2003,318082528506.588
"BLZ",2023,3052362650
"BLZ",2018,2285915050
"BLZ",2013,2035191450
"BLZ",2008,1738453600
"BLZ",2003,1308280250
"BEN",2023,19673291004.1444
"BEN",2018,14262408089.9261
"BEN",2013,12517845123.9315
"BEN",2008,9787734526.23965
"BEN",2003,5349258094.48239
"BMU",2023,8579242000
"BMU",2018,7225977000
"BMU",2013,6465756000
"BMU",2008,6.98e+09
"BMU",2003,4186525000
"BTN",2023,3012896789.24928
"BTN",2018,2583335721.85904
"BTN",2013,1943696951.65411
"BTN",2008,1317517834.59916
"BTN",2003,651935430.314445
"BOL",2023,52340206946.4544
"BOL",2018,48414038842.2576
"BOL",2013,30659338885.6729
"BOL",2008,16674276285.8956
"BOL",2003,8082399639.54305
"BIH",2023,27592361498.4057
"BIH",2018,20484058033.1144
"BIH",2013,18179109209.3892
"BIH",2008,19112796623.1175
"BIH",2003,8498894359.38629
"BWA",2023,19411266967.1044
"BWA",2018,17031943186.1353
"BWA",2013,14271738933.2042
"BWA",2008,10730829116.4105
"BWA",2003,7511582173.37724
"BRA",2023,2191131869706.02
"BRA",2018,1916933708352.71
"BRA",2013,2472819362043.74
"BRA",2008,1695855391757.96
"BRA",2003,558233724164.711
"VGB",2023,NA
"VGB",2018,NA
"VGB",2013,NA
"VGB",2008,NA
"VGB",2003,NA
"BRN",2023,15095084656.1634
"BRN",2018,13566908391.0895
"BRN",2013,18094148098.6536
"BRN",2008,15926456515.0049
"BRN",2003,7167725261.92713
"BGR",2023,102199231384.542
"BGR",2018,66097226262.2191
"BGR",2013,55819262374.9039
"BGR",2008,54480684188.4442
"BGR",2003,21144957990.4681
"BFA",2023,20112614449.2039
"BFA",2018,15890066221.2882
"BFA",2013,13444300485.8412
"BFA",2008,9451435490.11467
"BFA",2003,4740768142.67494
"BDI",2023,3430949249.91221
"BDI",2018,2913411408.44783
"BDI",2013,2451624637.67157
"BDI",2008,1611835857.04588
"BDI",2003,784654423.620476
"CPV",2023,2504525548.71164
"CPV",2018,2205099506.99994
"CPV",2013,2028910915.16446
"CPV",2008,1959620648.31578
"CPV",2003,813260468.873834
"KHM",2023,42335646895.7984
"KHM",2018,33145892168.8958
"KHM",2013,19807135252.8649
"KHM",2008,12174303999.0812
"KHM",2003,5046693484.31767
"CMR",2023,48814501547.4313
"CMR",2018,39955552189.795
"CMR",2013,33728621180.3231
"CMR",2008,27715142032.913
"CMR",2003,15970315034.9903
"CAN",2023,2173339670064.33
"CAN",2018,1725329192783.02
"CAN",2013,1846597421834.98
"CAN",2008,1552989690721.65
"CAN",2003,895540646634.787
"CYM",2023,7241244269.45972
"CYM",2018,5530178498.90783
"CYM",2013,4405796081.15984
"CYM",2008,4585948969.33223
"CYM",2003,NA
"CAF",2023,2555492085.94725
"CAF",2018,2220979146.11241
"CAF",2013,1691544110.18543
"CAF",2008,1993407888.49838
"CAF",2003,1142315522.53864
"TCD",2023,18340233748.8805
"TCD",2018,15327000248.8701
"TCD",2013,17865316886.3315
"TCD",2008,13385593990.3378
"TCD",2003,2742815071.5744
"CHI",2023,12507320838.3932
"CHI",2018,10026394043.6136
"CHI",2013,9594745810.67159
"CHI",2008,NA
"CHI",2003,7332244897.95918
"CHL",2023,335518054097.637
"CHL",2018,295857562991.709
"CHL",2013,277395018842.417
"CHL",2008,179894594475.405
"CHL",2003,76492579644.0605
"CHN",2023,18270356654533.2
"CHN",2018,14147765772963.8
"CHN",2013,9743124247267.24
"CHN",2008,4667346414521.95
"CHN",2003,1683903309843.85
"COL",2023,366291836137.916
"COL",2018,334198218098.276
"COL",2013,382093697077.685
"COL",2008,242504150472.931
"COL",2003,94644969157.0987
"COM",2023,1326836543.00797
"COM",2018,1178530633.24599
"COM",2013,1116224106.83728
"COM",2008,915659107.965823
"COM",2003,546830040.540273
"COD",2023,69843655425.2929
"COD",2018,46659954092.4862
"COD",2013,34891189160.3002
"COD",2008,22723488723.3641
"COD",2003,8937567059.87754
"COG",2023,15321055822.5167
"COG",2018,14773900288.5135
"COG",2013,17958720699.0868
"COG",2008,11649857673.4436
"COG",2003,3503723087.74483
"CRI",2023,86497941439.0174
"CRI",2018,62420164991.5374
"CRI",2013,50949668841.6696
"CRI",2008,30801745700.4514
"CRI",2003,17271760506.9483
"CIV",2023,80780312569.1646
"CIV",2018,58522477786.6889
"CIV",2013,42760235484.6093
"CIV",2008,34078240293.2559
"CIV",2003,21251754340.4305
"HRV",2023,85624153964.0987
"HRV",2018,61667925219.0755
"HRV",2013,59846265181.8502
"HRV",2008,68472854617.2831
"HRV",2003,35245317001.8224
"CUB",2023,NA
"CUB",2018,100050036100
"CUB",2013,7.7148e+10
"CUB",2008,56302129629.6296
"CUB",2003,35901200000
"CUW",2023,3281419347.37053
"CUW",2018,3046364819.53197
"CUW",2013,3033568606.16651
"CUW",2008,2833476145.2514
"CUW",2003,2202117374.30168
"CYP",2023,35075423857.0996
"CYP",2018,25754001367.5448
"CYP",2013,23959712860.8331
"CYP",2008,27844646257.507
"CYP",2003,14547329558.3239
"CZE",2023,345059295659.911
"CZE",2018,251992360762.236
"CZE",2013,213024360541.119
"CZE",2008,236506264753.95
"CZE",2003,100435924704.881
"DNK",2023,404651706117.557
"DNK",2018,355293374912.393
"DNK",2013,344631016965.12
"DNK",2008,354979471960.142
"DNK",2003,218421193436.252
"DJI",2023,3898447007.38798
"DJI",2018,2913464658.08768
"DJI",2013,2044440443.16654
"DJI",2008,999105339.267729
"DJI",2003,622044665.515049
"DMA",2023,659311111.111111
"DMA",2018,628244444.444444
"DMA",2013,545325925.925926
"DMA",2008,480003703.703704
"DMA",2003,373318518.518519
"DOM",2023,120456239153.739
"DOM",2018,84994732049.3461
"DOM",2013,62555417414.582
"DOM",2008,48091433554.186
"DOM",2003,21403167848.1444
"ECU",2023,121147057000
"ECU",2018,107478961000
"ECU",2013,96570334000
"ECU",2008,61139438000
"ECU",2003,30965208000
"EGY",2023,395926075163.006
"EGY",2018,262588632526.73
"EGY",2013,288434108527.132
"EGY",2008,162818181818.182
"EGY",2003,80288461538.4615
"SLV",2023,33853940000
"SLV",2018,26020850000
"SLV",2013,21990960000
"SLV",2008,17986890000
"SLV",2003,13243892200
"GNQ",2023,12337550583.754
"GNQ",2018,13097012133.6159
"GNQ",2013,21948834283.7856
"GNQ",2008,19749893536.3204
"GNQ",2003,2484745935.09329
"ERI",2023,NA
"ERI",2018,NA
"ERI",2013,NA
"ERI",2008,1380188800
"ERI",2003,870248267.550163
"EST",2023,41470344395.1086
"EST",2018,31222632740.7247
"EST",2013,25451032780.7573
"EST",2008,24342935403.5447
"EST",2003,9876595528.45528
"SWZ",2023,4621191261.84214
"SWZ",2018,4643751059.28203
"SWZ",2013,4463396204.01995
"SWZ",2008,3235921170.5095
"SWZ",2003,2149632433.27703
"ETH",2023,135874093202.492
"ETH",2018,83337901071.9697
"ETH",2013,47648276605.0123
"ETH",2008,27066912635.2228
"ETH",2003,8623691300.04079
"FRO",2023,3943131022.2291
"FRO",2018,3188600927.46688
"FRO",2013,2690110520.92548
"FRO",2008,2489873249.62815
"FRO",2003,1501941580.88903
"FJI",2023,5476673518.13788
"FJI",2018,5581425327.44397
"FJI",2013,4189967998.51424
"FJI",2008,3523185919.55826
"FJI",2003,2300492465.32276
"FIN",2023,295021982462.75
"FIN",2018,273869255596.078
"FIN",2013,270268036626.275
"FIN",2008,285698662071.094
"FIN",2003,171612867735.686
"FRA",2023,3056250648138.29
"FRA",2018,2781576320884.39
"FRA",2013,2816077607875.26
"FRA",2008,2926802941585.86
"FRA",2003,1835095983049.09
"PYF",2023,6137447782.87066
"PYF",2018,6135116253.33452
"PYF",2013,6031827122.60663
"PYF",2008,7136741421.95908
"PYF",2003,4927780606.7707
"GAB",2023,19388372070.9778
"GAB",2018,16867326401.9626
"GAB",2013,17595744798.3398
"GAB",2008,15571348344.3379
"GAB",2003,6511903365.47554
"GMB",2023,2382262184.68273
"GMB",2018,1670671327.81651
"GMB",2013,1375609453.43746
"GMB",2008,1561766955.73024
"GMB",2003,487038685.045496
"GEO",2023,30777833600.6515
"GEO",2018,17902544880.6471
"GEO",2013,17517660143.6859
"GEO",2008,12795145130.9103
"GEO",2003,3991377904.13162
"DEU",2023,4562207532490.28
"DEU",2018,4055433215301.96
"DEU",2013,3807023797050.99
"DEU",2008,3808197720125
"DEU",2003,2534715518349.01
"GHA",2023,80547146878.3843
"GHA",2018,67259353965.6087
"GHA",2013,62845721959.827
"GHA",2008,28679383241.0729
"GHA",2003,7632723555.66221
"GIB",2023,NA
"GIB",2018,NA
"GIB",2013,NA
"GIB",2008,NA
"GIB",2003,NA
"GRC",2023,242946187738.269
"GRC",2018,213298873494.394
"GRC",2013,236556279640.705
"GRC",2008,351121399546.485
"GRC",2003,196930509813.384
"GRL",2023,3326543974.39193
"GRL",2018,3055782146.15957
"GRL",2013,2684946990.12448
"GRL",2008,2499092314.41875
"GRL",2003,1558759823.08169
"GRD",2023,1336418518.51852
"GRD",2018,1166514814.81481
"GRD",2013,842618518.518518
"GRD",2008,825976037.037037
"GRD",2003,591018407.407407
"GUM",2023,NA
"GUM",2018,6.051e+09
"GUM",2013,5.399e+09
"GUM",2008,4.658e+09
"GUM",2003,3.569e+09
"GTM",2023,104368755054.601
"GTM",2018,73328356007.6152
"GTM",2013,52996420177.4409
"GTM",2008,38503720224.3166
"GTM",2003,21576351798.9145
"GIN",2023,22407615556.0571
"GIN",2018,11857030366.7891
"GIN",2013,8376613539.28278
"GIN",2008,6964179983.17212
"GIN",2003,5025167975.26363
"GNB",2023,2127688181.12014
"GNB",2018,1554133593.91699
"GNB",2013,1109682824.13594
"GNB",2008,952667544.037289
"GNB",2003,553614800.145707
"GUY",2023,16918503597.1223
"GUY",2018,4787636997.85343
"GUY",2013,4167800928.83553
"GUY",2008,3025187433.33637
"GUY",2003,743063950.317749
"HTI",2023,19850585722.3241
"HTI",2018,16403864617.8458
"HTI",2013,14902488604.2421
"HTI",2008,10432962634.8748
"HTI",2003,5071947798.27263
"HND",2023,34355805527.9795
"HND",2018,24067750760.499
"HND",2013,18499729214.904
"HND",2008,13881731875.7466
"HND",2003,8230391346.67228
"HKG",2023,381043026173.935
"HKG",2018,361731070995.726
"HKG",2013,275696879834.966
"HKG",2008,219278749139.734
"HKG",2003,161385558801.811
"HUN",2023,213240316634.648
"HUN",2018,161184691013.835
"HUN",2013,135646053778.582
"HUN",2008,158228265915.534
"HUN",2003,85190469121.074
"ISL",2023,31677891896.7861
"ISL",2018,26677652544.3499
"ISL",2013,16244319958.6808
"ISL",2008,18247921360.2599
"ISL",2003,11564687741.9859
"IND",2023,3638489096033.86
"IND",2018,2702929641648.74
"IND",2013,1856721507621.58
"IND",2008,1198895139005.92
"IND",2003,607700687237.318
"IDN",2023,1371169301563.62
"IDN",2018,1042271532988.63
"IDN",2013,912524136718.018
"IDN",2008,510228634992.258
"IDN",2003,234772463823.808
"IRN",2023,457510482317.483
"IRN",2018,411903303606.044
"IRN",2013,500399839839.877
"IRN",2008,406070949553.875
"IRN",2003,151911222119.488
"IRQ",2023,268881051643.549
"IRQ",2018,227367469034.031
"IRQ",2013,234637675128.645
"IRQ",2008,131614434153.505
"IRQ",2003,21921569478.8163
"IRL",2023,567372737459.116
"IRL",2018,395780319816.603
"IRL",2013,242924245718.756
"IRL",2008,275447471451.063
"IRL",2003,164670771259.602
"IMN",2023,NA
"IMN",2018,7491649455.92717
"IMN",2013,7001175622.71266
"IMN",2008,5928791505.35144
"IMN",2003,2252620408.16327
"ISR",2023,512184638998.974
"ISR",2018,376299083108.497
"ISR",2013,298478070673.058
"ISR",2008,221231658862.876
"ISR",2003,131408914824.005
"ITA",2023,2316727999333.18
"ITA",2018,2099435266458.67
"ITA",2013,2153225581941.46
"ITA",2008,2417508414187.19
"ITA",2003,1582930016538.82
"JAM",2023,21418804319.6395
"JAM",2018,16855447986.2221
"JAM",2013,14264205152.6126
"JAM",2008,13709401520.0326
"JAM",2003,9430234810.78586
"JPN",2023,4213167237905.83
"JPN",2018,5040880939324.86
"JPN",2013,5212328181166.18
"JPN",2008,5106679115127.3
"JPN",2003,4519561645253.53
"JOR",2023,51088476338.0282
"JOR",2018,43370860704.2254
"JOR",2013,34454440140.8451
"JOR",2008,22658715989.3302
"JOR",2003,10195627644.5698
"KAZ",2023,261840101059.923
"KAZ",2018,179339977690.485
"KAZ",2013,236634603409.089
"KAZ",2008,133441648851.982
"KAZ",2003,30833692900.1091
"KEN",2023,107500884685.013
"KEN",2018,92202979985.2863
"KEN",2013,61671440407.8387
"KEN",2008,35895153327.8497
"KEN",2003,14904517649.8476
"KIR",2023,288610747.738991
"KIR",2018,233514717.441266
"KIR",2013,201730860.757856
"KIR",2008,147017894.97877
"KIR",2003,96105619.3795504
"PRK",2023,NA
"PRK",2018,NA
"PRK",2013,NA
"PRK",2008,NA
"PRK",2003,NA
"KOR",2023,1844800934391.54
"KOR",2018,1824251454306.83
"KOR",2013,1434669686501.84
"KOR",2008,1091580692542.34
"KOR",2003,728516494684.269
"XKX",2023,10468224574.7539
"XKX",2018,7878762812.27689
"XKX",2013,6735328609.6594
"XKX",2008,5181776768.71247
"XKX",2003,NA
"KWT",2023,165384407116.233
"KWT",2018,138646316350.727
"KWT",2013,174168116534.844
"KWT",2008,147379737229.753
"KWT",2003,47874582231.588
"KGZ",2023,15180842369.4894
"KGZ",2018,8271106235.41552
"KGZ",2013,7335033800.59056
"KGZ",2008,5139958909.17936
"KGZ",2003,1919008090.49641
"LAO",2023,15843155731.2552
"LAO",2018,18141641089.7963
"LAO",2013,11983252626.5452
"LAO",2008,5446433157.40114
"LAO",2003,2023324407.28414
"LVA",2023,42779550936.838
"LVA",2018,33247935477.3576
"LVA",2013,29152128167.8438
"LVA",2008,34135200994.0067
"LVA",2003,11244337719.8377
"LBN",2023,20078620356.9931
"LBN",2018,54901519155.5556
"LBN",2013,46880103080.597
"LBN",2008,29118916105.4726
"LBN",2003,20082918739.6352
"LSO",2023,2117962445.37471
"LSO",2018,2556247291.99785
"LSO",2013,2367112931.642
"LSO",2008,1766902709.19935
"LSO",2003,1157825434.78971
"LBR",2023,4.39e+09
"LBR",2018,3422754800
"LBR",2013,3177198100
"LBR",2008,1.726e+09
"LBR",2003,7.48e+08
"LBY",2023,44027664915.187
"LBY",2018,76686029772.1483
"LBY",2013,75351107029.0605
"LBY",2008,86710767415.1371
"LBY",2003,26265625000
"LIE",2023,8239379403.22096
"LIE",2018,6692620691.84146
"LIE",2013,6391708310.67727
"LIE",2008,5081479840.08716
"LIE",2003,3070803051.42164
"LTU",2023,79789877416.1681
"LTU",2018,54261795148.5372
"LTU",2013,46303660422.0434
"LTU",2008,47831254207.5223
"LTU",2003,18809197969.5431
"LUX",2023,88788881539.3937
"LUX",2018,71085623495.1145
"LUX",2013,65203276466.9763
"LUX",2008,58844277701.5258
"LUX",2003,29667268248.1305
"MAC",2023,45626467279.891
"MAC",2018,55076322634.344
"MAC",2013,51559125350.236
"MAC",2008,21027018332.6663
"MAC",2003,8246479565.94248
"MDG",2023,15869945477.8505
"MDG",2018,13760033282.2925
"MDG",2013,12423555455.3853
"MDG",2008,10725137723.6549
"MDG",2003,6372498889.66585
"MWI",2023,13363669672.9405
"MWI",2018,9879220354.29186
"MWI",2013,8031571927.62055
"MWI",2008,7743617352.21427
"MWI",2003,4669789300.35662
"MYS",2023,399949418752.657
"MYS",2018,358788845712.53
"MYS",2013,323276235524.415
"MYS",2008,230811614370.384
"MYS",2003,110202368421.053
"MDV",2023,6621008703.95743
"MDV",2018,5404344162.69888
"MDV",2013,3295009237.50107
"MDV",2008,2271646187.5
"MDV",2003,1052121054.6875
"MLI",2023,24813860598.5307
"MLI",2018,20368015381.2413
"MLI",2013,15747192680.9101
"MLI",2008,11462490840.2784
"MLI",2003,5605613011.29045
"MLT",2023,22610561526.1461
"MLT",2018,16153779510.9928
"MLT",2013,10796782636.1081
"MLT",2008,9135419464.96088
"MLT",2003,5418315224.40862
"MHL",2023,263761322.021484
"MHL",2018,2.2e+08
"MHL",2013,186400000
"MHL",2008,146600000
"MHL",2003,131128500
"MRT",2023,10726838461.3987
"MRT",2018,7473550557.07378
"MRT",2013,7223071097.08417
"MRT",2008,5206437193.80413
"MRT",2003,2051147606.73687
"MUS",2023,14072212290.4596
"MUS",2018,14957535715.9696
"MUS",2013,12434596541.2996
"MUS",2008,10127777060.4113
"MUS",2003,5894873919.74797
"MEX",2023,1798317581486.88
"MEX",2018,1256300182879.73
"MEX",2013,1327436290282.67
"MEX",2008,1161553459715.1
"MEX",2003,765549967703.273
"FSM",2023,441469400
"FSM",2018,3.92e+08
"FSM",2013,312808581.662958
"FSM",2008,258124736.278522
"FSM",2003,240949861.080731
"MDA",2023,16711906746.2133
"MDA",2018,11252353420.8798
"MDA",2013,9496717875.51932
"MDA",2008,6054824248.24221
"MDA",2003,1980907434.76826
"MCO",2023,10003892565.2005
"MCO",2018,7184333936.01355
"MCO",2013,6555591709.88585
"MCO",2008,6502942244.93068
"MCO",2003,3597089750.78276
"MNG",2023,20325121393.9074
"MNG",2018,13178094720.4986
"MNG",2013,12582122604.2577
"MNG",2008,5623216608.04288
"MNG",2003,1595297355.78349
"MNE",2023,7644389159.84471
"MNE",2018,5433467174.79183
"MNE",2013,4422097762.7848
"MNE",2008,4540861725.50168
"MNE",2003,1707710053.14938
"MAR",2023,146036093666.762
"MAR",2018,127341147581.818
"MAR",2013,115739287305.08
"MAR",2008,101822906949.063
"MAR",2003,58029363354.2757
"MOZ",2023,20921079532.6094
"MOZ",2018,15017358952.8452
"MOZ",2013,17198073057.1981
"MOZ",2008,12920340964.6544
"MOZ",2003,6583526860.58062
"MMR",2023,66757619000
"MMR",2018,67860515993.1186
"MMR",2013,60269732854.827
"MMR",2008,31862554101.9378
"MMR",2003,10467109977.6717
"NAM",2023,12408271449.2244
"NAM",2018,13682019076.4022
"NAM",2013,12043307277.1235
"NAM",2008,8607431497.49471
